order_id,category,sub_category,region,season,sale_price,cost_price,units_sold,inventory_days,discount_pct,revenue,cogs,profit,profit_margin_pct,inventory_status,profit_status
1,Clothing,Kids Wear,West,Spring,375.04,285.73,21,25.0,0.15,7718.32,6000.33,1717.99,22.26,Fast Moving,Profit
2,Electronics,Accessories,West,Winter,1305.27,616.82,88,55.0,0.15,86147.82,54280.16,31867.66,36.99,Fast Moving,Profit
3,Clothing,Womens Wear,South,Winter,1984.5,1383.18,58,1.0,0.09,104741.91,80224.44,24517.47,23.41,Fast Moving,Profit
4,Furniture,Tables,West,Winter,1947.77,1057.85,190,109.0,0.24,281257.99,200991.5,80266.49,28.54,Slow Moving,Profit
5,Sports,Apparel,West,Autumn,1966.63,1252.16,51,34.0,0.0,100298.13,63860.16,36437.97,36.33,Fast Moving,Profit
6,Food & Beverage,Beverages,South,Summer,616.18,301.35,84,53.0,0.07,48135.98,25313.4,22822.58,47.41,Fast Moving,Profit
7,Clothing,Kids Wear,West,Spring,1668.06,866.3,81,46.0,0.09,122952.7,70170.3,52782.4,42.93,Fast Moving,Profit
8,Clothing,Womens Wear,South,Summer,1139.72,527.15,146,5.0,0.23,128127.32,76963.9,51163.42,39.93,Fast Moving,Profit
9,Electronics,Mobile Phones,South,Summer,1854.05,1373.68,15,57.0,0.12,24473.46,20605.2,3868.26,15.81,Fast Moving,Profit
10,Sports,Outdoor Gear,East,Spring,1177.63,984.62,188,38.0,0.16,185971.33,185108.56,862.77,0.46,Fast Moving,Profit
11,Furniture,Office Chairs,North,Autumn,338.88,154.62,9,76.0,0.0,3049.92,1391.58,1658.34,54.37,Slow Moving,Profit
12,Furniture,Shelving,East,Spring,1425.57,1092.09,123,102.0,0.02,171838.21,134327.07,37511.14,21.83,Slow Moving,Profit
13,Clothing,Kids Wear,South,Spring,1830.77,1446.34,12,20.0,0.09,19992.01,17356.08,2635.93,13.18,Fast Moving,Profit
14,Clothing,Mens Wear,East,Winter,1278.74,1029.24,193,26.0,0.11,219649.17,198643.32,21005.85,9.56,Fast Moving,Profit
15,Food & Beverage,Dairy,South,Autumn,1523.96,1027.93,142,82.0,0.15,188270.02,145966.06,42303.96,22.47,Slow Moving,Profit
16,Furniture,Tables,West,Spring,411.42,332.55,52,71.0,0.17,17756.89,17292.6,464.29,2.61,Slow Moving,Profit
17,Electronics,Accessories,South,Spring,506.09,310.82,171,92.0,0.26,64040.63,53150.22,10890.41,17.01,Slow Moving,Profit
18,Furniture,Tables,North,Summer,1270.47,1014.58,28,106.0,0.07,33083.04,28408.24,4674.8,14.13,Slow Moving,Profit
19,Sports,Supplements,South,Summer,1083.29,837.36,92,59.0,0.08,91689.67,77037.12,14652.55,15.98,Fast Moving,Profit
20,Sports,Supplements,North,Spring,616.51,318.03,155,39.0,0.13,83136.37,49294.65,33841.72,40.71,Fast Moving,Profit
21,Clothing,Mens Wear,North,Autumn,546.13,299.09,59,34.0,0.21,25455.12,17646.31,7808.81,30.68,Fast Moving,Profit
22,Sports,Gym Equipment,South,Spring,515.29,282.77,39,4.0,0.15,17081.86,11028.03,6053.83,35.44,Fast Moving,Profit
23,Sports,Gym Equipment,North,Spring,1995.5,1110.92,2,31.0,0.08,3671.72,2221.84,1449.88,39.49,Fast Moving,Profit
24,Electronics,Laptops,North,Autumn,1364.6,903.88,160,60.0,0.17,181218.88,144620.8,36598.08,20.2,Fast Moving,Profit
25,Electronics,Accessories,East,Autumn,745.61,407.75,38,88.0,0.19,22949.88,15494.5,7455.38,32.49,Slow Moving,Profit
26,Furniture,Shelving,East,Winter,1598.71,815.8,187,61.0,0.06,281021.24,152554.6,128466.64,45.71,Slow Moving,Profit
27,Electronics,Cameras,West,Winter,1358.35,620.27,195,49.0,0.03,256931.9,120952.65,135979.25,52.92,Fast Moving,Profit
28,Furniture,Office Chairs,North,Winter,779.6,642.93,129,111.0,0.2,80454.72,82937.97,-2483.25,-3.086518727552591,Slow Moving,Loss
29,Sports,Outdoor Gear,East,Autumn,1755.91,971.33,144,49.0,0.16,212394.87,139871.52,72523.35,34.15,Fast Moving,Profit
30,Electronics,Mobile Phones,North,Winter,1931.18,1300.3,160,86.0,0.19,250280.93,208048.0,42232.93,16.874210112612257,Slow Moving,Profit
31,Furniture,Office Chairs,North,Autumn,1403.71,1107.06,148,95.0,0.19,168276.75,163844.88,4431.87,2.63,Slow Moving,Profit
32,Furniture,Shelving,North,Winter,1572.83,1128.66,112,96.0,0.03,170872.25,126409.92,44462.33,26.02,Slow Moving,Profit
33,Electronics,Cameras,North,Spring,575.0,328.98,194,80.0,0.07,103741.5,63822.12,39919.38,38.48,Slow Moving,Profit
34,Electronics,Laptops,West,Spring,992.85,517.8,128,86.0,0.22,99126.14,66278.4,32847.74,33.14,Slow Moving,Profit
35,Electronics,Cameras,North,Winter,1140.93,556.17,115,33.0,0.18,107589.7,63959.55,43630.15,40.55,Fast Moving,Profit
36,Clothing,Womens Wear,North,Autumn,1785.17,1254.0,21,44.0,0.15,31865.28,26334.0,5531.28,17.358328563251288,Fast Moving,Profit
37,Food & Beverage,Dairy,West,Spring,398.53,294.51,147,44.0,0.01,57998.07,43292.97,14705.1,25.35,Fast Moving,Profit
38,Furniture,Lamps,West,Summer,1908.32,1557.09,99,97.0,0.22,147360.47,154151.91,-6791.44,-4.61,Slow Moving,Loss
39,Clothing,Mens Wear,West,Spring,862.09,721.28,99,11.0,0.08,78519.16,71406.72,7112.44,9.06,Fast Moving,Profit
40,Electronics,Cameras,West,Summer,1118.03,921.77,58,44.0,0.28,46688.93,53462.66,-6773.73,-14.51,Fast Moving,Loss
